Make,Model,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg
BMW,1 Series M,335,6,MANUAL,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,26,19
BMW,1 Series,300,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,28,19
BMW,1 Series,300,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,28,20
BMW,1 Series,230,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,28,18
BMW,1 Series,230,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,28,18
BMW,1 Series,230,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,28,18
BMW,1 Series,300,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,26,17
BMW,1 Series,300,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,28,20
BMW,1 Series,230,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,28,18
BMW,1 Series,230,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,27,18
BMW,1 Series,300,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,28,20
BMW,1 Series,230,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,28,19
BMW,1 Series,300,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,28,19
BMW,1 Series,230,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,28,19
BMW,1 Series,230,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,28,19
BMW,1 Series,320,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,25,18
BMW,1 Series,320,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,28,20
Audi,100,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17
Audi,100,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17
Audi,100,172,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,20,16
Audi,100,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17
Audi,100,172,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,21,16
Audi,100,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17
Audi,100,172,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,20,16
Audi,100,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17
Audi,100,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24,17
Audi,100,172,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,21,16
