credit.policy,purpose,int.rate,installment,annual_inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not_fully_paid
1,debt_consolidation,0.1189,829.1,85000.00038,19.48,737,5639.958333,28854,52.1,0,0,0,0
1,credit_card,0.1071,228.22,65000.00007,14.29,707,2760,33623,76.7,0,0,0,0
1,debt_consolidation,0.1357,366.86,31999.99994,11.63,682,4710,3511,25.6,1,0,0,0
1,debt_consolidation,0.1008,162.34,85000.00038,8.1,712,2699.958333,33667,73.2,1,0,0,0
1,credit_card,0.1426,102.92,80799.99964,14.97,667,4066,4740,39.5,0,1,0,0
1,credit_card,0.0788,125.13,147999.9996,16.98,727,6120.041667,50807,51,0,0,0,0
1,debt_consolidation,0.1496,194.02,45000.00006,4,667,3180.041667,3839,76.8,0,0,1,1
1,all_other,0.1114,131.22,59999.99993,11.08,722,5116,24220,68.6,0,0,0,1
1,home_improvement,0.1134,87.19,90000.00006,17.25,682,3989,69909,51.1,1,0,0,0
1,debt_consolidation,0.1221,84.12,26999.99987,10,707,2730.041667,5630,23,1,0,0,0
1,debt_consolidation,0.1347,360.43,33999.99988,22.09,677,6713.041667,13846,71,2,0,1,0
1,debt_consolidation,0.1324,253.58,137999.9994,9.16,662,4298,5122,18.2,2,1,0,0
1,debt_consolidation,0.0859,316.11,56000.00002,15.49,767,6519.958333,6068,16.7,0,0,0,0
1,small_business,0.0714,92.82,99999.9995,6.5,747,4384,3021,4.8,0,1,0,0
1,debt_consolidation,0.0863,209.54,13200.00001,9.73,727,1559.958333,6282,44.6,0,0,0,0
1,major_purchase,0.1103,327.53,46115.99998,13.04,702,8159.958333,5394,53.4,1,0,0,0
1,all_other,0.1317,77.69,37151.99983,2.26,672,3895.958333,2211,88.4,0,0,0,0
1,credit_card,0.0894,476.58,109999.9995,7.07,797,6510.958333,7586,52.7,1,0,0,0
1,debt_consolidation,0.1039,584.12,36000.00009,3.8,712,2760,8311,59.8,0,0,0,0
1,major_purchase,0.1513,173.65,59999.99993,2.74,667,1126.958333,591,84.4,3,0,0,0
1,all_other,0.08,188.02,74999.99981,16.08,772,4888.958333,29797,23.2,1,0,0,0
1,all_other,0.0863,474.42,49999.99978,2.59,797,11951,5656,27.6,0,0,0,0
1,credit_card,0.1355,339.6,99999.9995,7.94,662,1939.958333,21162,57.7,0,0,0,0
1,credit_card,0.0788,484.85,125000.0005,7.05,782,5640.041667,16931,34.6,1,0,0,0
1,debt_consolidation,0.1229,320.19,78000.00034,8.8,672,3760.958333,4822,58.1,0,0,1,0
1,all_other,0.0901,159.03,250000.0008,10,712,1553.958333,14354,36.6,0,2,0,0
1,all_other,0.0743,155.38,65000.00007,0.28,802,4649.958333,1576,5.7,1,0,0,0
1,debt_consolidation,0.1375,255.43,21999.99999,14.29,662,1318.958333,4175,51.5,0,1,0,0
1,all_other,0.0743,155.38,200000.0009,0.28,772,4516.958333,3164,13.7,0,0,0,0
1,all_other,0.0743,155.38,200000.0009,3.72,812,6778.958333,85607,0.7,0,0,0,0
1,debt_consolidation,0.0807,156.84,99999.9995,2.3,742,3148.958333,9698,19.4,0,0,0,0
1,credit_card,0.1028,275.38,18000,6.4,692,7469.958333,8847,26.9,1,1,0,0
1,home_improvement,0.0743,155.38,149999.9995,0,777,7128.958333,6053,19.5,0,0,0,0
1,home_improvement,0.0807,78.42,109999.9995,11.33,762,6059.958333,7274,13.1,0,0,0,0
1,credit_card,0.087,158.3,74999.99981,15.55,757,4770,66033,23,0,0,0,0
1,all_other,0.0743,155.38,94999.99994,3.83,772,2535,3660,6.8,0,0,0,0
1,credit_card,0.0743,155.38,85000.00038,0.31,787,3540,216,0.6,0,0,0,0
1,credit_card,0.1122,164.23,79999.99971,1.21,672,3990,27185,16.1,3,0,1,0
1,debt_consolidation,0.0996,161.25,48000.00001,8.03,707,4320,28329,48.6,1,0,0,0
1,home_improvement,0.0933,159.77,180000,11.93,717,4498.958333,60568,39.2,1,0,0,0
1,home_improvement,0.0807,156.84,180000,5.55,742,4019,40934,26.3,0,0,0,0
1,debt_consolidation,0.0743,155.38,119999.9998,2.29,777,3540,8379,16.9,0,0,0,0
1,small_business,0.087,94.98,24999.9999,14.54,752,2460,3660,7.8,1,0,0,0
1,home_improvement,0.1028,97.2,200000.0009,0,677,3779.958333,0,0,0,1,0,0
1,credit_card,0.1122,164.23,29999.99998,18.64,702,5190,15840,47.1,0,0,0,0
1,credit_card,0.0838,167.02,73999.99984,14.37,797,5610.958333,6844,14.4,0,0,0,0
1,educational,0.0775,168.6,8000.000003,3,762,6659.958333,1321,16.5,0,0,0,0
1,all_other,0.0838,160.72,31999.99994,14.78,772,4379,4737,23.9,0,0,0,0
1,credit_card,0.0901,159.03,72999.99999,9.96,722,3089.958333,23489,37.6,0,0,0,0
1,debt_consolidation,0.0743,178.69,125000.0005,0.27,792,7488.958333,2817,10.2,0,0,0,0
1,credit_card,0.0743,155.38,45000.00006,1.12,782,5807,1783,0,1,0,0,0
1,small_business,0.1028,323.98,27376.00011,10.7,712,1379,3534,54.4,0,0,0,0
1,small_business,0.1059,813.65,48000.00001,4.05,762,2729.958333,2422,23.3,0,0,0,0
1,educational,0.0996,112.87,13499.99999,16.44,712,1649.958333,2864,41.1,1,0,0,0
1,debt_consolidation,0.1596,94.88,52199.9998,12.57,627,1409,3075,92.3,1,0,0,0
1,small_business,0.1059,398.69,59999.99993,17.12,747,14008.95833,17214,8.1,2,1,0,0
1,credit_card,0.1154,39.6,20000.00001,2.04,662,1139,1153,75.8,2,0,0,0
1,credit_card,0.1343,678.08,144999.9998,10.15,682,4209.958333,41674,74.1,0,0,0,1
1,credit_card,0.1249,401.37,74999.99981,15,682,4479,43039,93.4,3,0,0,0
1,all_other,0.0964,205.45,59999.99993,7.72,712,2293.958333,3362,69.3,0,0,0,0
