TimeStamp,Temp,Day,Hour,Minute,NextHour
TS1,0,0,0,0,0
TS2,20,0,0,20,0
TS3,40,0,0,40,0
TS4,60,0,1,0,1
TS5,80,0,1,20,1
TS6,100,0,1,40,1
TS7,120,0,2,0,2
TS8,140,0,2,20,2
TS9,160,0,2,40,2
TS10,180,0,3,0,3
TS11,200,0,3,20,3
TS12,220,0,3,40,3
TS13,240,0,4,0,4
TS14,260,0,4,20,4
TS15,280,0,4,40,4
TS16,300,0,5,0,5
TS17,320,0,5,20,5
TS18,340,0,5,40,5
TS19,360,0,6,0,6
TS20,380,0,6,20,6
TS21,400,0,6,40,6
TS22,420,0,7,0,7
TS23,440,0,7,20,7
TS24,460,0,7,40,7
TS25,480,0,8,0,8
TS26,500,0,8,20,8
TS27,520,0,8,40,8
TS28,540,0,9,0,9
TS29,560,0,9,20,9
TS30,580,0,9,40,9
TS31,600,0,10,0,10
TS32,620,0,10,20,10
TS33,640,0,10,40,10
TS34,660,0,11,0,11
TS35,680,0,11,20,11
TS36,700,0,11,40,11
TS37,720,0,12,0,12
TS38,740,0,12,20,12
TS39,760,0,12,40,12
TS40,780,0,13,0,13
TS41,800,0,13,20,13
TS42,820,0,13,40,13
TS43,840,0,14,0,14
TS44,860,0,14,20,14
TS45,880,0,14,40,14
TS46,900,0,15,0,15
TS47,920,0,15,20,15
TS48,940,0,15,40,15
TS49,960,0,16,0,16
TS50,980,0,16,20,16
TS51,1000,0,16,40,16
TS52,1020,0,17,0,17
TS53,1040,0,17,20,17
TS54,1060,0,17,40,17
TS55,1080,0,18,0,18
TS56,1100,0,18,20,18
TS57,1120,0,18,40,18
TS58,1140,0,19,0,19
TS59,1160,0,19,20,19
TS60,1180,0,19,40,19
TS61,1200,0,20,0,20
TS62,1220,0,20,20,20
TS63,1240,0,20,40,20
TS64,1260,0,21,0,21
TS65,1280,0,21,20,21
TS66,1300,0,21,40,21
TS67,1320,0,22,0,22
TS68,1340,0,22,20,22
TS69,1360,0,22,40,22
TS70,1380,0,23,0,23
TS71,1400,0,23,20,23
TS72,1420,0,23,40,23
TS73,1440,1,0,0,24
TS74,1460,1,0,20,24
TS75,1480,1,0,40,24
TS76,1500,1,1,0,25
TS77,1520,1,1,20,25
TS78,1540,1,1,40,25
TS79,1560,1,2,0,26
TS80,1580,1,2,20,26
TS81,1600,1,2,40,26
TS82,1620,1,3,0,27
TS83,1640,1,3,20,27
TS84,1660,1,3,40,27
TS85,1680,1,4,0,28
TS86,1700,1,4,20,28
TS87,1720,1,4,40,28
TS88,1740,1,5,0,29
TS89,1760,1,5,20,29
TS90,1780,1,5,40,29
TS91,1800,1,6,0,30
TS92,1820,1,6,20,30
TS93,1840,1,6,40,30
TS94,1860,1,7,0,31
TS95,1880,1,7,20,31
TS96,1900,1,7,40,31
TS97,1920,1,8,0,32
TS98,1940,1,8,20,32
TS99,1960,1,8,40,32
TS100,1980,1,9,0,33
TS101,2000,1,9,20,33
TS102,2020,1,9,40,33
TS103,2040,1,10,0,34
TS104,2060,1,10,20,34
TS105,2080,1,10,40,34
TS106,2100,1,11,0,35
TS107,2120,1,11,20,35
TS108,2140,1,11,40,35
TS109,2160,1,12,0,36
TS110,2180,1,12,20,36
TS111,2200,1,12,40,36
TS112,2220,1,13,0,37
TS113,2240,1,13,20,37
TS114,2260,1,13,40,37
TS115,2280,1,14,0,38
TS116,2300,1,14,20,38
TS117,2320,1,14,40,38
TS118,2340,1,15,0,39
TS119,2360,1,15,20,39
TS120,2380,1,15,40,39
TS121,2400,1,16,0,40
TS122,2420,1,16,20,40
TS123,2440,1,16,40,40
TS124,2460,1,17,0,41
TS125,2480,1,17,20,41
TS126,2500,1,17,40,41
TS127,2520,1,18,0,42
TS128,2540,1,18,20,42
TS129,2560,1,18,40,42
TS130,2580,1,19,0,43
TS131,2600,1,19,20,43
TS132,2620,1,19,40,43
TS133,2640,1,20,0,44
TS134,2660,1,20,20,44
TS135,2680,1,20,40,44
TS136,2700,1,21,0,45
TS137,2720,1,21,20,45
TS138,2740,1,21,40,45
TS139,2760,1,22,0,46
TS140,2780,1,22,20,46
TS141,2800,1,22,40,46
TS142,2820,1,23,0,47
TS143,2840,1,23,20,47
TS144,2860,1,23,40,47
