source,f_count,f_sum,f_min,f_max,f_mean,f_median,g_count,g_sum,g_min,g_max,g_mean,g_median,l_count,l_sum,l_min,l_max,l_mean,l_median
TechCrunch,125.0,1.143068110623825,0.0,0.20598764879620513,0.0091445448849906,0.0056833437751722905,139,6.560039370078752,0.0,0.5462598425196851,0.04719452784229318,0.0265748031496063,139,2.7335922521016656,0.0,1.0,0.019666131310083924,0.0076200776756305
Techcrunch,15.0,0.09607983531728274,0.0020137832274232524,0.01570750917390137,0.006405322354485516,0.005056833437751723,16,0.8572834645669292,0.000984251968503937,0.5354330708661418,0.05358021653543307,0.0172244094488189,16,1.0953247136325648,0.0013765301607590581,0.9703062779607688,0.0684577946020353,0.007202202448257214
LinkedIn (blog),,,,,,,1,0.21751968503937008,0.21751968503937008,0.21751968503937008,0.21751968503937008,0.21751968503937008,1,0.8851088933680743,0.8851088933680743,0.8851088933680743,0.8851088933680743,0.8851088933680743
TIME,23.0,0.0900832363734002,0.00013425221516155016,0.02058533965810436,0.0039166624510174,0.0022375369193591696,27,0.24999999999999994,0.0,0.04822834645669291,0.009259259259259257,0.002952755905511811,27,0.7022270291529422,0.0,0.5144781475836979,0.026008408487146008,0.0028022221129737966
CNBC,73.0,0.08234135863241743,0.0,0.008099883648080194,0.0011279638168824305,0.0004475073838718339,90,0.6958661417322831,0.0,0.28051181102362205,0.00773184601924759,0.0,90,0.7025219999016765,0.0,0.45410746767612215,0.007805799998907517,0.0002212280615505629
The Verge,233.0,3.6679495211671007,0.0,0.6824487604045467,0.015742272623034768,0.00514633491452609,270,12.984251968503955,0.0,1.0,0.0480898221055702,0.01673228346456693,270,2.0056044442259475,0.0,0.3989479376628484,0.00742816460824425,0.002187699719777789
Wall Street Journal,40.0,0.14100957665801486,4.475073838718339e-05,0.038351382797816164,0.0035252394164503715,0.001901906381455294,52,0.573818897637795,0.0,0.19389763779527558,0.011034978800726828,0.004921259842519685,52,0.7083722530849024,0.0,0.33665994788850107,0.013622543328555815,0.002408927781328352
The Wall Street Journal,50.0,0.1931889376174706,0.00013425221516155016,0.038351382797816164,0.003863778752349412,0.002058533965810436,62,0.47834645669291326,0.0,0.18996062992125984,0.007715265430530859,0.0004921259842519685,62,0.5942677351162677,0.0,0.32849909050685805,0.009584963469617222,0.001302787473575537
Bloomberg,77.0,0.17358811420388437,0.0,0.048286046719770874,0.0022543910935569397,0.0005370088606462006,96,0.5324803149606298,0.0,0.1171259842519685,0.00554666994750656,0.000984251968503937,96,1.1139570325942674,0.0,0.2567228749815643,0.011603719089523618,0.001991052553955066
CNN Money,69.0,0.6400698111518838,0.0,0.10015215251051643,0.009276374074664983,0.003132551687102837,76,0.15944881889763776,0.0,0.07874015748031496,0.002098010774968918,0.0,76,0.39054127132392696,0.0,0.20938006980974386,0.0051387009384727235,0.0005899414974681678
